listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
93,38.902289,-77.017461,2693,28,16.5,0.06,220,2,0.24
94,38.920669,-77.031495,2453,28,13.8,0.02,195,2,0.28
95,38.923632,-77.043096,2600,28,17.7,0.05,141,2,0.75
96,38.907003,-77.032375,2377,28,14.7,0.02,253,4,0.5
97,38.902289,-77.017461,2498,28,16.5,0.06,220,2,0.24
98,38.916316,-77.049224,3600,28,17.8,0.16,140,1,0.83
99,38.902289,-77.017461,2698,28,16.5,0.06,220,2,0.24
100,38.929912,-77.08303,1795,28,15.8,0.02,88,0,1.38
101,38.881067,-77.016571,2595,28,13.5,0.06,81,1,0.42
102,38.927171,-77.033863,2300,28,15.7,0.05,176,3,0.6
103,38.919482,-77.012874,1475,28,15.0,0.11,155,4,0.23
104,38.962233,-77.019513,4195,28,13.5,0.03,139,0,1.07
105,38.902208,-77.027837,3500,28,17.3,0.06,229,4,0.32
106,38.95847,-77.014041,3100,28,14.0,0.15,138,0,1.3
107,38.929178,-77.025929,1895,28,17.0,0.04,171,2,0.59
108,38.890481,-77.00139,4250,34,15.7,0.23,116,3,0.64
109,38.890342,-77.00328,3950,34,15.7,0.22,119,2,0.68
110,38.910772,-77.036122,5000,28,14.8,0.02,224,3,0.45
111,38.915853,-77.020224,1100,28,17.7,0.04,190,4,0.27
112,38.933538,-77.081833,2385,28,10.5,0.1,102,0,1.16
113,38.933538,-77.081833,2600,28,10.5,0.1,102,0,1.16
114,38.931746,-77.037678,1763,28,16.8,0.04,137,2,0.25
115,38.907361,-77.068666,12250,28,17.8,0.05,89,0,1.47
116,38.900443,-77.0183,2452,28,16.5,0.04,225,2,0.26
117,38.933538,-77.081833,2529,28,10.5,0.1,102,0,1.16
118,38.932728,-77.072136,2022,28,16.8,0.06,119,1,0.9
119,38.902289,-77.017461,2688,28,16.5,0.06,220,2,0.24
120,38.933538,-77.081833,2429,28,10.5,0.1,102,0,1.16
121,38.933538,-77.081833,2445,28,10.5,0.1,102,0,1.16
122,38.910284,-77.036138,3799,28,14.8,0.04,227,3,0.42
123,38.947855,-76.994614,2700,28,12.3,0.15,146,0,1.24
124,38.900443,-77.0183,3471,28,16.5,0.04,225,2,0.26
125,38.890342,-77.00328,3950,34,15.7,0.22,119,2,0.68
126,38.881048,-76.989788,1595,34,18.0,0.1,93,1,0.15
127,38.902289,-77.017461,3712,28,16.5,0.06,220,2,0.24
128,38.906547,-77.034375,4504,28,14.7,0.13,238,4,0.39
129,38.902797,-76.97833,3095,34,15.5,0.03,122,3,0.46
130,38.912861,-77.044105,2595,28,17.5,0.06,172,1,0.5
131,38.908848,-77.049115,3780,28,15.8,0.06,154,1,0.46
132,38.900443,-77.0183,2502,28,16.5,0.04,225,2,0.26
133,38.933538,-77.081833,2465,28,10.5,0.1,102,0,1.16
134,38.922852,-77.033217,3695,28,16.3,0.08,188,2,0.4
135,38.933538,-77.081833,2670,28,10.5,0.1,102,0,1.16
136,38.885532,-76.981397,2425,34,14.7,0.05,95,2,0.48
137,38.920482,-77.012444,2650,28,15.0,0.13,151,4,0.25
138,38.933538,-77.081833,2285,28,10.5,0.1,102,0,1.16
139,38.922083,-77.081664,1725,28,14.0,0.07,83,0,1.79
140,38.881048,-76.989788,2500,34,18.0,0.1,93,1,0.15
141,38.952958,-77.015616,3995,28,16.3,0.17,149,0,1.24
142,38.902289,-77.017461,2450,28,16.5,0.06,220,2,0.24
143,38.907071,-77.014887,2600,28,14.5,0.02,209,3,0.49
144,38.894984,-77.021175,2650,28,18.3,0.08,202,2,0.55
145,38.901527,-77.000994,3250,34,17.8,0.05,133,2,0.19
146,38.901527,-77.000994,1880,34,17.8,0.05,133,2,0.19
147,38.902289,-77.017461,3102,28,16.5,0.06,220,2,0.24
148,38.902289,-77.017461,2683,28,16.5,0.06,220,2,0.24
149,38.902289,-77.017461,2673,28,16.5,0.06,220,2,0.24
150,38.902289,-77.017461,3122,28,16.5,0.06,220,2,0.24
151,38.933538,-77.081833,2370,28,10.5,0.1,102,0,1.16
152,38.933538,-77.081833,2395,28,10.5,0.1,102,0,1.16
153,38.909885,-77.038968,2800,28,16.8,0.02,203,2,0.31
154,38.933538,-77.081833,4015,28,10.5,0.1,102,0,1.16
155,38.906087,-76.989169,1600,34,11.5,0.07,136,2,0.61
156,38.933538,-77.081833,3770,28,10.5,0.1,102,0,1.16
157,38.913283,-77.064029,2550,28,17.7,0.17,104,0,1.32
158,38.90298,-77.049361,3050,28,16.2,0.07,146,1,0.47
159,38.913751,-77.015362,2700,28,17.7,0.01,185,4,0.34
160,38.89055,-77.001382,4250,34,15.7,0.24,116,3,0.64
161,38.925262,-76.979754,2995,34,15.0,0.04,140,4,0.37
162,38.91437,-77.015255,1500,28,17.7,0.05,182,4,0.4
