listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles,price_log,nearest_bus_stop_miles_log,nearby_bus_stops_log,QoL_index
32,38.933433,-77.034635,1700,28,15.5,0.09,152,2,0.34,7.438971592395862,0.08617769624105233,5.030437921392435,0.7486096175241108
33,38.923927,-76.99271,3700,34,15.0,0.12,158,4,0.08,8.216358332386156,0.11332868530700317,5.0689042022202315,0.789903806039318
34,38.91214,-77.036062,3400,28,14.8,0.03,218,2,0.52,8.131824785007195,0.0295588022415444,5.389071729816501,0.757421566065202
35,38.97752,-77.018265,1995,28,17.7,0.12,86,0,1.8,7.59890045687141,0.11332868530700317,4.465908118654584,0.4452264883291019
36,38.897617,-76.990791,2600,34,15.0,0.05,149,3,0.29,7.8636512654486515,0.04879016416943201,5.0106352940962555,0.6380000673794664
37,38.897617,-76.990791,5250,34,15.0,0.05,149,3,0.29,8.566173813637858,0.04879016416943201,5.0106352940962555,0.6251905948903252
38,38.920641,-76.986895,3395,34,15.2,0.12,155,4,0.22,8.130353547431238,0.11332868530700317,5.049856007249537,0.7984649011115051
39,38.907999,-77.041368,2650,28,14.7,0.06,195,2,0.15,7.8826922062890254,0.058268908123975775,5.278114659230517,0.738390002368852
40,38.921093,-77.009377,4195,28,9.5,0.03,144,3,0.42,8.341886969516187,0.0295588022415444,4.976733742420574,0.6267505220833505
41,38.904045,-77.00108,4250,34,17.8,0.11,143,3,0.34,8.35490952835879,0.10436001532424277,4.969813299576001,0.7414924226466377
42,38.958608,-76.993787,3050,28,13.0,0.08,121,0,1.8,8.02322468471667,0.07696104113612832,4.804021044733257,0.2680893555603598
1498,38.881889,-77.015007,1750,28,14.5,0.13,84,1,0.52,7.467942332285852,0.12221763272424921,4.442651256490317,0.460862842450597
43,38.900965,-77.015924,2395,28,16.5,0.1,211,2,0.35,7.78155595923534,0.09531017980432487,5.356586274672012,0.8244284791838851
44,38.910946,-77.040276,1995,28,16.8,0.13,196,1,0.36,7.59890045687141,0.12221763272424921,5.2832037287379885,0.662178102231933
45,38.928951,-77.020638,3495,28,12.5,0.04,150,2,0.65,8.159374736775426,0.039220713153281295,5.017279836814924,0.6057167786070243
46,38.934115,-77.032426,3100,28,18.2,0.03,163,2,0.45,8.03947991910045,0.0295588022415444,5.099866427824199,0.8820123535595433
47,38.950159,-77.022311,4195,28,14.5,0.14,159,0,0.96,8.341886969516187,0.1310282624064041,5.075173815233827,0.3514843538808873
48,38.922169,-77.08109,1996,28,14.0,0.04,84,0,1.77,7.599401333415815,0.039220713153281295,4.442651256490317,0.28778364080805546
49,38.87315,-76.973289,1750,34,14.0,0.05,89,1,0.13,7.467942332285852,0.04879016416943201,4.499809670330265,0.20938064608647033
50,38.891876,-77.002663,1882,34,15.7,0.18,115,2,0.57,7.5406215286571525,0.16551443847757338,4.7535901911063645,0.45640111397094413
51,38.933048,-77.029404,2450,28,14.2,0.09,164,3,0.62,7.804251383528112,0.08617769624105233,5.10594547390058,0.8560522222607561
52,38.905834,-76.975502,4000,34,13.7,0.15,97,3,0.38,8.294299608857235,0.13976194237515868,4.584967478670572,0.5015608984574987
53,38.873441,-77.01545,2195,28,13.0,0.06,58,1,0.46,7.694392802629421,0.058268908123975775,4.07753744390572,0.3586818760287744
54,38.909386,-77.032372,3795,28,14.7,0.02,241,5,0.55,8.241703159729818,0.019802627296179712,5.488937726156687,1.2600239157301418
55,38.947838,-77.016731,1900,28,13.0,0.06,146,0,1.3,7.550135342488429,0.058268908123975775,4.990432586778736,0.30234960042541387
56,38.905008,-76.981417,1750,34,17.3,0.09,124,1,0.65,7.467942332285852,0.08617769624105233,4.8283137373023015,0.3916618136532502
57,38.916103,-77.016182,3625,28,15.5,0.06,176,4,0.27,8.195885391314796,0.058268908123975775,5.176149732573829,1.0880070760447873
58,38.873119,-77.012627,2467,28,15.5,0.02,54,1,0.6,7.811163385025279,0.019802627296179712,4.007333185232471,0.47161809625258366
59,38.915848,-77.012619,1550,28,14.8,0.01,162,3,0.37,7.346655163176539,0.009950330853168083,5.093750200806762,0.9066935413724639
60,38.921315,-76.986561,2495,34,15.2,0.13,163,3,0.21,7.822444729489319,0.12221763272424921,5.099866427824199,0.6428443901734534
61,38.921206,-77.045091,3800,28,17.3,0.11,155,1,0.94,8.24301946898925,0.10436001532424277,5.049856007249537,0.6500757782010692
62,38.877481,-77.016322,3185,28,15.8,0.07,68,1,0.33,8.066521490469993,0.06765864847381481,4.23410650459726,0.49705981790268855
63,38.877481,-77.016322,2255,28,15.8,0.07,68,1,0.33,7.721348612617949,0.06765864847381481,4.23410650459726,0.5033535411351172
64,38.877481,-77.016322,2310,28,15.8,0.07,68,1,0.33,7.745435610274381,0.06765864847381481,4.23410650459726,0.502914349916812
65,38.877481,-77.016322,2220,28,15.8,0.07,68,1,0.33,7.7057128238944275,0.06765864847381481,4.23410650459726,0.5036386369032406
66,38.877481,-77.016322,1885,28,15.8,0.07,68,1,0.33,7.542213463193403,0.06765864847381481,4.23410650459726,0.5066198089215483
67,38.877481,-77.016322,2375,28,15.8,0.07,68,1,0.33,7.773173680482536,0.06765864847381481,4.23410650459726,0.5024085867236604
68,38.877481,-77.016322,2475,28,15.8,0.07,68,1,0.33,7.814399633804487,0.06765864847381481,4.23410650459726,0.5016568916837256
69,38.877481,-77.016322,2400,28,15.8,0.07,68,1,0.33,7.783640596221253,0.06765864847381481,4.23410650459726,0.5022177378042245
70,38.877481,-77.016322,3315,28,15.8,0.07,68,1,0.33,8.106514516255185,0.06765864847381481,4.23410650459726,0.4963306034954451
71,38.877481,-77.016322,3260,28,15.8,0.07,68,1,0.33,8.089789175789319,0.06765864847381481,4.23410650459726,0.4966355656480782
72,38.929908,-77.029228,4295,28,13.3,0.07,165,3,0.66,8.3654396361887,0.06765864847381481,5.111987788356544,0.8089903130436168
73,38.918961,-77.009441,4700,28,9.5,0.03,148,4,0.41,8.45553053102413,0.0295588022415444,5.003946305945459,0.7930218450373637
74,38.905432,-77.018041,2100,28,14.5,0.18,237,2,0.27,7.650168700845001,0.16551443847757338,5.472270673671475,0.7333744114180297
75,38.92873,-77.019688,3695,28,12.5,0.02,149,2,0.62,8.215006432761575,0.019802627296179712,5.0106352940962555,0.6080278578044126
76,38.877481,-77.016322,2375,28,15.8,0.07,68,1,0.33,7.773173680482536,0.06765864847381481,4.23410650459726,0.5024085867236604
77,38.877481,-77.016322,3415,28,15.8,0.07,68,1,0.33,8.13622555490846,0.06765864847381481,4.23410650459726,0.4957888661046185
78,38.877481,-77.016322,3410,28,15.8,0.07,68,1,0.33,8.134760782418645,0.06765864847381481,4.23410650459726,0.49581557409137206
79,38.877481,-77.016322,1900,28,15.8,0.07,68,1,0.33,7.550135342488429,0.06765864847381481,4.23410650459726,0.5064753650241197
80,38.907003,-77.032375,3096,28,14.7,0.02,253,4,0.5,8.038189179973203,0.019802627296179712,5.537334267018537,1.1041883128618724
81,38.927136,-77.034279,1750,28,15.7,0.07,173,3,0.61,7.467942332285852,0.06765864847381481,5.159055299214529,0.9413411409045038
82,38.900965,-77.015924,3300,28,16.5,0.1,211,2,0.35,8.101980731853192,0.09531017980432487,5.356586274672012,0.8185860015007599
83,38.892791,-76.97648,1875,34,15.3,0.06,100,3,0.31,7.53689712956617,0.058268908123975775,4.61512051684126,0.6097531896527562
84,38.901527,-77.000994,1850,34,17.8,0.05,133,2,0.19,7.523481312573497,0.04879016416943201,4.897839799950911,0.5948299495779936
1540,38.910919,-77.004097,1887,28,14.0,0.12,158,2,0.55,7.543273346705446,0.11332868530700317,5.0689042022202315,0.676383902857123
