listing_db_id,latitude,longitude,price,aqi,nwi_score,nearest_bus_stop_miles,nearby_bus_stops,nearby_parks,nearest_park_miles
21233,39.082336,-77.147667,2400,46,14.3,0.15,30,2,0.61
21234,39.095046,-77.191289,3490,46,15.2,1.95,0,0,1.19
21235,39.269142,-77.216827,1484,48,11.2,10.67,0,0,12.22
21236,39.169035,-77.21599,2900,46,10.0,4.36,0,0,5.68
21237,39.116297,-77.174201,4600,46,17.7,0.42,8,0,1.43
21238,39.065767,-77.129017,3200,46,19.5,0.53,16,1,0.71
21239,39.086611,-77.240645,4195,46,11.0,3.81,0,1,0.63
21240,39.053164,-77.102837,4350,46,13.7,0.04,37,0,1.04
21241,39.176578,-77.280756,3250,46,13.2,7.35,0,0,6.76
21242,39.08374,-77.168786,4700,46,10.0,0.49,16,1,0.84
21243,39.156341,-77.300848,2900,46,12.8,7.68,0,0,6.13
21244,39.044402,-77.047047,1900,46,14.2,0.26,47,0,0.94
21245,39.222816,-77.298759,3200,48,7.8,10.14,0,0,10.07
21246,39.13232,-77.191322,2233,46,14.2,1.66,0,0,2.78
21247,39.094685,-77.074192,850,46,12.2,0.12,34,0,0.98
21248,39.028068,-77.041134,3295,46,13.8,0.3,37,0,1.93
21249,39.23178,-77.247711,3150,48,14.0,8.91,0,0,10.02
21250,39.233813,-77.244046,3200,48,14.0,8.94,0,0,10.14
21251,39.160097,-77.199551,1799,46,11.3,3.34,0,0,4.72
21252,39.085112,-76.932451,2800,46,10.3,0.21,41,1,0.29
21253,39.026566,-77.118394,2200,46,16.5,0.39,23,1,0.97
21254,39.040789,-76.976508,3700,46,9.3,0.27,30,0,2.13
21255,39.023812,-77.126146,5300,46,13.7,0.05,38,2,0.69
21256,39.03055,-77.099594,1600,46,13.0,1.07,0,1,0.61
21257,39.101843,-76.923911,3200,46,12.3,0.42,15,0,1.43
21258,39.080965,-76.979948,3050,46,8.3,1.1,0,0,1.73
21259,39.090516,-77.061011,3195,46,11.2,0.53,5,1,0.26
21260,39.139379,-77.201594,1350,46,13.7,2.4,0,0,3.47
21261,38.978202,-77.09168,2400,45,19.7,0.4,20,1,0.68
21286,39.296918,-76.666057,1725,47,14.8,16.44,0,0,18.66
21262,39.041064,-77.036441,3500,46,14.2,0.33,16,0,1.55
21263,39.027334,-77.151602,2400,46,8.2,0.5,8,0,0.88
21264,39.152073,-77.071418,2950,46,16.0,0.24,27,0,4.24
21265,39.125225,-77.156954,2600,46,10.5,0.57,8,0,2.12
21266,39.086678,-76.963949,1850,46,11.7,0.65,10,0,1.43
21267,39.061403,-77.033488,3900,46,13.0,0.3,13,0,1.64
21268,39.175171,-77.201334,1875,46,11.8,4.29,0,0,5.73
